date,province,subcategory,actual_inflation,svr_prediction,ann_prediction
2026-05-01,JAWA TIMUR,Furnitur Perlengkapan dan Karpet,0.01,-0.13868043735770108,0.18717093369099472
2026-05-01,JAWA TIMUR,Total,-0.03,-0.29212507994712844,-0.032381493857676774
2026-05-01,BANTEN,Peralatan dan Perlengkapan Perumahan dan Kebun,-1.41,-0.1426993748384522,0.1025142211003092
2026-05-01,MALUKU,Peralatan dan Perlengkapan Perumahan dan Kebun,0.38,-0.25117868567302004,0.1114950337513266
2026-05-01,KALIMANTAN UTARA,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,-0.31,-0.056916561724088766,0.2772316178292258
2026-05-01,MALUKU UTARA,Total,1.34,-0.2968683775117018,0.12435567242928083
2026-05-01,PAPUA BARAT DAYA,Furnitur Perlengkapan dan Karpet,0.64,0.04870759356400889,0.12959527872937363
2026-05-01,JAMBI,Peralatan dan Perlengkapan Perumahan dan Kebun,0.0,-0.25111459722174523,0.03735585855474613
2026-05-01,KEPULAUAN BANGKA BELITUNG,Peralatan dan Perlengkapan Perumahan dan Kebun,0.01,-0.2682995138458413,0.08319371631179268
2026-05-01,KEPULAUAN BANGKA BELITUNG,Furnitur Perlengkapan dan Karpet,0.0,-0.0733343018083108,0.2573636890709897
2026-06-01,KALIMANTAN SELATAN,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,-0.07,-0.0920671250159959,0.2605214488589215
2026-06-01,JAWA TIMUR,Furnitur Perlengkapan dan Karpet,0.01,-0.11309376518966907,0.21555992689903888
2026-06-01,KALIMANTAN SELATAN,Barang Pecah Belah dan Peralatan Makan Minum,-0.01,-0.015550648547213441,0.3000711546538323
2026-06-01,LAMPUNG,Total,0.13,-0.23746832858592803,0.05825835200640547
2026-06-01,PAPUA BARAT,Barang Pecah Belah dan Peralatan Makan Minum,0.0,0.2016253898491751,0.20101866696386936
2026-06-01,PAPUA,Total,0.07,-0.20283376463974356,0.03198687314732171
2026-06-01,JAWA TIMUR,Peralatan Rumah Tangga,-0.3,-0.12949753501836803,0.1550466462638175
2026-06-01,PAPUA BARAT,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,1.15,0.11534751770220986,0.1915481869155433
2026-06-01,PAPUA BARAT DAYA,Tekstil Rumah Tangga,0.0,-0.19285185270460126,0.014737720303923535
